district_name,cohort,cycle,type,No_of_HH_attended_training,Total_population,percentage_attendance
Kitagwenda,2025,A,CATs / Agriculture Champions,126,103.0,1.2233009708737863
Kitagwenda,2025,A,Coffee Champions - ToT 1,104,103.0,1.0097087378640777
Kitagwenda,2025,A,HHT 1 - Day 2 - VSLAs,1940,2014.0,0.9632571996027806
Kitagwenda,2025,A,HHT 1 - Mindset and behavioral change,1933,2014.0,0.9597815292949354
Kitagwenda,2025,A,HHT 2 - Financial Literacy and VSLA and and Business Enterprise Selection,1928,2014.0,0.9572989076464746
Kitagwenda,2025,A,HOR 1,1908,2014.0,0.9473684210526315
Kitagwenda,2025,A,Village Champions,26,26.0,1.0
Kitagwenda,2025,A,WASH - Training 1,1937,2014.0,0.9617676266137041
Kitagwenda,2025,A,WASH Champions Training,98,103.0,0.9514563106796117
Rakai,2025,A,CATs / Agriculture Champions,109,104.0,1.0480769230769231
Rakai,2025,A,Coffee Champions - ToT 1,177,104.0,1.7019230769230769
Rakai,2025,A,HHT 1 - Day 2 - VSLAs,1951,2087.0,0.9348346909439387
Rakai,2025,A,HHT 1 - Mindset and behavioral change,1938,2087.0,0.928605654048874
Rakai,2025,A,HHT 2 - Financial Literacy and VSLA and and Business Enterprise Selection,1936,2087.0,0.9276473406804024
Rakai,2025,A,HOR 1,1939,2087.0,0.9290848107331098
Rakai,2025,A,Village Champions,17,17.0,1.0
Rakai,2025,A,WASH - Training 1,1935,2087.0,0.9271681839961667
Rakai,2025,A,WASH Champions Training,107,104.0,1.0288461538461537
